"","Sample","Library_Size_median","Num_Genes_median","Library_Size_mean","Num_Genes_mean"
"1","Culture_S1",8489.5,2378,15047.009569378,2677.22009569378
"2","Culture_S2",11258,3173,14390.5462607153,3237.65503990541
"3","Culture_S4",6640,2144,9135.18373868276,2307.15036392686
"4","Culture_S5",11829,3100,15038.2364044944,3173.50606741573
"5","Fresh_S1",10260,2691,12206.5134971186,2766.53624507128
"6","Fresh_S2",8186,2459,10254.6011801458,2538.11003123915
