Cell Type;clust_basic;Gene;Subclust_name;Clust_num;Subcluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;CFH;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;PLPP3;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;MT2A;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;GYPC;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;SOD2;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;IGFBP7;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;IL6;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;DCN;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;C3;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;THBS2;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;ABI3BP;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;COL6A1;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;FGF7;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;AEBP1;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;BNIP3L;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;XCL1;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;KLRB1;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;AREG;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;CTSW;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;XCL2;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;CD96;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;FCER1G;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;LINC01871;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;TNFRSF18;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;FXYD5;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;RAC2;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;PTPRC;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;TSC22D3;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;CD53;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;PLAC8;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;SYTL3;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;JAML;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;SRGN;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;GNLY;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;CD7;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;IKZF1;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;SARAF;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;STK17B;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;CD69;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;CYTIP;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;ACAP1;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;PRF1;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;AHI1;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;IL7R;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 1;PRKX;Inn. Lymphoid;1;1-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;CD7;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;KLRB1;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;XCL1;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;KLRC1;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;XCL2;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;KLRD1;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;CD247;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;NKG7;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;PIK3R1;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;FCER1G;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;PTPRC;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;SRGN;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;IFITM2;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;CTSW;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;CXCR4;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;AREG;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;PRF1;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;FYN;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;ALOX5AP;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;LEPROTL1;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;CD96;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;SYTL3;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;SARAF;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;RAC2;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;GZMA;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;GNLY;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;CEMIP2;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;ARHGDIB;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;CD69;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 2;IFITM1;Inn. Lymphoid;2;2-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;KLRB1;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;IL7R;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;JAML;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;PTPRC;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;CXCR4;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;SARAF;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;TSC22D3;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;SPOCK2;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;LTB;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;TRBC1;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;LEPROTL1;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;ARHGDIB;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;CD52;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;CD69;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;PBXIP1;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;FXYD5;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;TXNIP;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;TRAC;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;IL32;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;EVL;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;LAPTM5;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;SRGN;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;PPP2R5C;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;CD48;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;LMO4;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;S100A4;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;RORA;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;STK17B;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;CD37;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innate lymphoid cells;Cluster 3;TRBC2;Inn. Lymphoid;3;3-Inn. Lymphoid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DQB2;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;FCER1A;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;LST1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;CD207;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;CD1A;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DQB1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;RGS1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;FCGBP;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;ACOT7;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DPB1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DRA;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;S100A4;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;S100B;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;AIF1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;DBI;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;CD74;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DPA1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DRB1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DQA1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HPGDS;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HSPA1B;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HSPA1A;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DRB5;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;CPVL;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;CRIP1;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;CD83;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;HLA-DQA2;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;TBC1D4;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;CD52;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 1;TYROBP;Langerhans;1;1-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 2;RGS1;Langerhans;2;2-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 2;ACOT7;Langerhans;2;2-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 2;HLA-DQB2;Langerhans;2;2-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerhans cells;Cluster 2;SGK1;Langerhans;2;2-Langerhans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
